epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.095,1.07869,2.19739,1.43384,0.00462,0.81818,0.36519,0.21486,1.30549,3.12083,1.87862,0.00038,0.00038,0.00038
2,524.913,0.96255,1.51413,1.32193,0.5784,0.36364,0.42177,0.23396,1.36417,2.83928,2.08141,0.000764556,0.000764556,0.000764556
3,783.911,1.02292,1.42459,1.37174,0.60444,0.36364,0.39908,0.15239,1.69177,2.89399,2.24733,0.00113327,0.00113327,0.00113327
4,1032.04,1.0574,1.36518,1.39178,0.52809,0.45795,0.45234,0.18675,1.91271,2.66701,2.8742,0.00148615,0.00148615,0.00148615
5,1275.71,1.04307,1.32475,1.36288,0.1612,0.22727,0.11055,0.04635,2.17694,3.46772,3.01915,0.00182318,0.00182318,0.00182318
6,1522.58,0.96907,1.20078,1.3036,0.34273,0.31818,0.23465,0.11381,1.9408,3.12859,2.94865,0.001802,0.001802,0.001802
7,1765.29,1.04884,1.2,1.38087,0.29003,0.18182,0.13487,0.0692,2.94326,4.06704,3.7601,0.0017624,0.0017624,0.0017624
8,2009.05,0.96455,1.07325,1.30024,0.52924,0.36364,0.32953,0.14834,2.40246,2.55958,3.33838,0.0017228,0.0017228,0.0017228
9,2257.77,1.01693,1.0626,1.3348,0.09951,0.13636,0.06695,0.02652,2.99587,3.95932,3.34012,0.0016832,0.0016832,0.0016832
10,2509.13,0.91034,0.97594,1.28497,0.1842,0.13636,0.0727,0.0282,2.77052,3.97367,2.95531,0.0016436,0.0016436,0.0016436
11,2754.4,0.91369,0.90521,1.25663,0.17601,0.18182,0.07486,0.01586,2.81261,3.03221,3.15624,0.001604,0.001604,0.001604
12,3004.99,0.90306,0.88519,1.2543,0.1903,0.13636,0.06458,0.0121,2.72354,2.98011,3.19284,0.0015644,0.0015644,0.0015644
13,3258.46,0.8636,0.83774,1.23618,0.59768,0.27036,0.25555,0.07542,2.08937,2.86925,2.50399,0.0015248,0.0015248,0.0015248
14,3513.83,0.85777,0.84229,1.22543,0.51061,0.36364,0.29765,0.17691,2.23682,2.37353,2.75338,0.0014852,0.0014852,0.0014852
15,3770.37,0.85928,0.84236,1.22287,0.51084,0.40909,0.40802,0.18575,2.07241,2.31288,2.47677,0.0014456,0.0014456,0.0014456
16,4023.42,0.8145,0.79524,1.20703,0.40924,0.36364,0.28167,0.14634,2.05979,2.35707,2.54189,0.001406,0.001406,0.001406
17,4280.5,0.79154,0.7564,1.19128,0.5929,0.5,0.4063,0.25254,1.67981,2.32126,2.106,0.0013664,0.0013664,0.0013664
18,4534.31,0.77142,0.71188,1.17588,0.64819,0.45455,0.38284,0.20884,1.69525,2.10911,1.96063,0.0013268,0.0013268,0.0013268
19,4789.59,0.79956,0.70215,1.17357,0.56166,0.45455,0.44491,0.26255,1.84282,1.92585,2.2536,0.0012872,0.0012872,0.0012872
20,5041.52,0.77825,0.6872,1.18202,0.60659,0.45455,0.38593,0.20743,1.88818,2.22703,2.45571,0.0012476,0.0012476,0.0012476
21,5294.42,0.75612,0.68891,1.16641,0.83002,0.5,0.50187,0.27574,1.85947,1.95461,2.32039,0.001208,0.001208,0.001208
22,5548.27,0.70976,0.61066,1.11932,1,0.35981,0.43379,0.22951,1.91979,2.24718,2.441,0.0011684,0.0011684,0.0011684
23,5796.04,0.74175,0.65586,1.15617,0.5763,0.40909,0.36227,0.18482,2.07524,2.35262,2.72436,0.0011288,0.0011288,0.0011288
24,6041.99,0.73167,0.63945,1.13337,0.85505,0.40909,0.49696,0.24696,2.087,1.74885,2.64793,0.0010892,0.0010892,0.0010892
25,6289.3,0.65917,0.59754,1.10844,0.87052,0.40909,0.47846,0.28121,1.72595,1.9369,2.21751,0.0010496,0.0010496,0.0010496
26,6539.42,0.66251,0.57383,1.07846,0.83218,0.45455,0.47953,0.32503,1.70642,1.95626,2.14816,0.00101,0.00101,0.00101
27,6791.17,0.69653,0.5797,1.12735,0.64388,0.36364,0.39612,0.23315,1.72791,2.15258,2.14907,0.0009704,0.0009704,0.0009704
28,7041.18,0.66025,0.57738,1.12622,0.67464,0.40909,0.40485,0.25875,1.74614,2.08812,2.16872,0.0009308,0.0009308,0.0009308
29,7289.08,0.67688,0.58815,1.10547,0.57868,0.22727,0.2388,0.12012,1.90924,2.90165,2.30607,0.0008912,0.0008912,0.0008912
30,7534.12,0.6335,0.53933,1.08662,0.49629,0.36364,0.33689,0.17744,1.99325,2.40063,2.48744,0.0008516,0.0008516,0.0008516
31,7781.56,0.61752,0.51666,1.07674,0.86337,0.40909,0.48712,0.22842,1.91021,2.07089,2.49702,0.000812,0.000812,0.000812
32,8026.14,0.61772,0.51205,1.07593,0.6861,0.45455,0.49934,0.24039,1.86412,1.94842,2.48551,0.0007724,0.0007724,0.0007724
33,8276.59,0.64378,0.52214,1.07089,0.74815,0.40539,0.42929,0.21346,2.02263,2.3073,2.45486,0.0007328,0.0007328,0.0007328
34,8530.7,0.60036,0.51772,1.07605,0.72045,0.5,0.49603,0.27239,1.75592,2.0415,2.39881,0.0006932,0.0006932,0.0006932
35,8786.26,0.59164,0.49146,1.04883,0.76611,0.5,0.53404,0.27258,1.83385,1.83149,2.54669,0.0006536,0.0006536,0.0006536
36,9037.97,0.58661,0.48701,1.05918,0.74926,0.54545,0.57293,0.30483,1.75415,1.82592,2.3432,0.000614,0.000614,0.000614
37,9290.46,0.58285,0.49135,1.05195,0.79514,0.5,0.52334,0.2316,1.89951,2.03504,2.38001,0.0005744,0.0005744,0.0005744
38,9542.18,0.55312,0.43832,1.04576,0.98683,0.45455,0.53936,0.24362,1.90957,2.09649,2.38749,0.0005348,0.0005348,0.0005348
39,9796.86,0.5754,0.46344,1.05493,0.82516,0.5,0.55123,0.27862,1.85457,1.97545,2.45116,0.0004952,0.0004952,0.0004952
